 0e+0	-2.09e+0
 1e+0	-2.04e+0
 2e+0	-1.91e+0
 3e+0	-1.76e+0
 4e+0	-1.74e+0
 5e+0	-1.78e+0
 6e+0	-1.45e+0
 7e+0	-1.25e+0
 8e+0	-1.02e+0
 9e+0	-7.47e-1
 1e+1	-4.34e-1
 1.1e+1	-8.3e-2
 1.2e+1	 2.88e-1
 1.3e+1	 6.56e-1
 1.4e+1	 1e+0
 1.5e+1	 1.31e+0
 1.6e+1	 1.56e+0
 1.7e+1	 1.72e+0
 1.8e+1	 1.8e+0
 1.9e+1	 1.81e+0
 2e+1	 1.78e+0
 2.1e+1	 1.72e+0
 2.2e+1	 1.64e+0
 2.3e+1	 1.52e+0
 2.4e+1	 1.38e+0
 2.5e+1	 1.25e+0
 2.6e+1	 1.15e+0
 2.7e+1	 1.08e+0
 2.8e+1	 1.03e+0
 2.9e+1	 9.89e-1
 3e+1	 9.67e-1
 3.1e+1	 9.54e-1
 3.2e+1	 9.46e-1
 3.3e+1	 9.43e-1
 3.4e+1	 9.46e-1
 3.5e+1	 9.54e-1
 3.6e+1	 9.62e-1
 3.7e+1	 9.59e-1
 3.8e+1	 9.37e-1
 3.9e+1	 8.98e-1
 4e+1	 8.52e-1
 4.1e+1	 8.09e-1
 4.2e+1	 7.67e-1
 4.3e+1	 7.23e-1
 4.4e+1	 6.75e-1
 4.5e+1	 6.3e-1
 4.6e+1	 5.96e-1
 4.7e+1	 5.74e-1
 4.8e+1	 5.55e-1
 4.9e+1	 5.3e-1
 5e+1	 4.91e-1
 5.1e+1	 4.4e-1
 5.2e+1	 3.92e-1
 5.3e+1	 3.67e-1
 5.4e+1	 3.7e-1
 5.5e+1	 3.88e-1
 5.6e+1	 4.13e-1
 5.7e+1	 4.49e-1
 5.8e+1	 5.06e-1
 5.9e+1	 5.86e-1
 6e+1	 6.83e-1
 6.1e+1	 7.86e-1
 6.2e+1	 8.8e-1
 6.3e+1	 9.51e-1
 6.4e+1	 9.88e-1
 6.5e+1	 9.79e-1
 6.6e+1	 9.19e-1
 6.7e+1	 8.08e-1
 6.8e+1	 6.5e-1
 6.9e+1	 4.49e-1
 7e+1	 2.19e-1
 7.1e+1	-1.6e-2
 7.2e+1	-2.27e-1
 7.3e+1	-3.96e-1
 7.4e+1	-5.19e-1
 7.5e+1	-6.12e-1
 7.6e+1	-6.98e-1
 7.7e+1	-7.89e-1
 7.8e+1	-8.8e-1
 7.9e+1	-9.47e-1
 8e+1	-9.61e-1
 8.1e+1	-8.97e-1
 8.2e+1	-7.64e-1
 8.3e+1	-6.1e-1
 8.4e+1	-4.96e-1
 8.5e+1	-4.5e-1
 8.6e+1	-4.51e-1
 8.7e+1	-4.64e-1
 8.8e+1	-4.7e-1
 8.9e+1	-4.66e-1
 9e+1	-4.65e-1
 9.1e+1	-4.83e-1
 9.2e+1	-5.34e-1
 9.3e+1	-6.14e-1
 9.4e+1	-6.99e-1
 9.5e+1	-7.63e-1
 9.6e+1	-8.06e-1
 9.7e+1	-8.52e-1
 9.8e+1	-9.09e-1
 9.9e+1	-9.49e-1
 1e+2	-9.42e-1
 1.01e+2	-8.84e-1
 1.02e+2	-8.07e-1
 1.03e+2	-7.39e-1
 1.04e+2	-6.89e-1
 1.05e+2	-6.43e-1
 1.06e+2	-5.92e-1
 1.07e+2	-5.44e-1
 1.08e+2	-5.11e-1
 1.09e+2	-4.97e-1
 1.1e+2	-5.15e-1
 1.11e+2	-5.93e-1
 1.12e+2	-7.49e-1
 1.13e+2	-9.61e-1
 1.14e+2	-1.18e+0
 1.15e+2	-1.37e+0
 1.16e+2	-1.52e+0
 1.17e+2	-1.63e+0
 1.18e+2	-1.73e+0
 1.19e+2	-1.85e+0
 1.2e+2	-1.98e+0
 1.21e+2	-2.07e+0
 1.22e+2	-2.1e+0
 1.23e+2	-2.03e+0
 1.24e+2	-1.86e+0
 1.25e+2	-1.57e+0
 1.26e+2	-1.17e+0
 1.27e+2	-7.25e-1
 1.28e+2	-2.76e-1
 1.29e+2	 1.34e-1
 1.3e+2	 4.93e-1
 1.31e+2	 7.96e-1
 1.32e+2	 1.04e+0
 1.33e+2	 1.21e+0
 1.34e+2	 1.31e+0
 1.35e+2	 1.35e+0
 1.36e+2	 1.34e+0
 1.37e+2	 1.31e+0
 1.38e+2	 1.29e+0
 1.39e+2	 1.29e+0
 1.4e+2	 1.32e+0
 1.41e+2	 1.33e+0
 1.42e+2	 1.32e+0
 1.43e+2	 1.3e+0
 1.44e+2	 1.26e+0
 1.45e+2	 1.25e+0
 1.46e+2	 1.27e+0
 1.47e+2	 1.33e+0
 1.48e+2	 1.41e+0
 1.49e+2	 1.49e+0
 1.5e+2	 1.56e+0
 1.51e+2	 1.59e+0
 1.52e+2	 1.57e+0
 1.53e+2	 1.51e+0
 1.54e+2	 1.45e+0
 1.55e+2	 1.38e+0
 1.56e+2	 1.29e+0
 1.57e+2	 1.19e+0
 1.58e+2	 1.08e+0
 1.59e+2	 9.61e-1
 1.6e+2	 8.46e-1
 1.61e+2	 7.26e-1
 1.62e+2	 6.07e-1
 1.63e+2	 4.97e-1
 1.64e+2	 4.04e-1
 1.65e+2	 3.24e-1
 1.66e+2	 2.54e-1
 1.67e+2	 1.96e-1
 1.68e+2	 1.54e-1
 1.69e+2	 1.28e-1
 1.7e+2	 1.13e-1
 1.71e+2	 1.1e-1
 1.72e+2	 1.22e-1
 1.73e+2	 1.45e-1
 1.74e+2	 1.76e-1
 1.75e+2	 2.16e-1
 1.76e+2	 2.75e-1
