  -15.00      0.3260E-01  0.3260E-01  0.6375E-01  0.6375E-01
  -14.95      0.3265E-01  0.3265E-01  0.6379E-01  0.6379E-01
  -14.90      0.3270E-01  0.3270E-01  0.6383E-01  0.6383E-01
  -14.85      0.3275E-01  0.3275E-01  0.6386E-01  0.6386E-01
  -14.80      0.3279E-01  0.3279E-01  0.6390E-01  0.6390E-01
  -14.75      0.3284E-01  0.3284E-01  0.6394E-01  0.6394E-01
  -14.70      0.3289E-01  0.3289E-01  0.6398E-01  0.6398E-01
  -14.65      0.3294E-01  0.3294E-01  0.6401E-01  0.6401E-01
  -14.60      0.3299E-01  0.3299E-01  0.6405E-01  0.6405E-01
  -14.55      0.3304E-01  0.3304E-01  0.6409E-01  0.6409E-01
  -14.50      0.3308E-01  0.3308E-01  0.6413E-01  0.6413E-01
  -14.45      0.3313E-01  0.3313E-01  0.6416E-01  0.6416E-01
  -14.40      0.3318E-01  0.3318E-01  0.6420E-01  0.6420E-01
  -14.35      0.3323E-01  0.3323E-01  0.6424E-01  0.6424E-01
  -14.30      0.3328E-01  0.3328E-01  0.6428E-01  0.6428E-01
  -14.25      0.3333E-01  0.3333E-01  0.6431E-01  0.6431E-01
  -14.20      0.3338E-01  0.3338E-01  0.6435E-01  0.6435E-01
  -14.15      0.3343E-01  0.3343E-01  0.6439E-01  0.6439E-01
  -14.10      0.3348E-01  0.3348E-01  0.6443E-01  0.6443E-01
  -14.05      0.3353E-01  0.3353E-01  0.6446E-01  0.6446E-01
  -14.00      0.3358E-01  0.3358E-01  0.6450E-01  0.6450E-01
  -13.95      0.3363E-01  0.3363E-01  0.6454E-01  0.6454E-01
  -13.90      0.3369E-01  0.3369E-01  0.6458E-01  0.6458E-01
  -13.85      0.3374E-01  0.3374E-01  0.6461E-01  0.6461E-01
  -13.80      0.3379E-01  0.3379E-01  0.6465E-01  0.6465E-01
  -13.75      0.3384E-01  0.3384E-01  0.6469E-01  0.6469E-01
  -13.70      0.3389E-01  0.3389E-01  0.6473E-01  0.6473E-01
  -13.65      0.3394E-01  0.3394E-01  0.6476E-01  0.6476E-01
  -13.60      0.3400E-01  0.3400E-01  0.6480E-01  0.6480E-01
  -13.55      0.3405E-01  0.3405E-01  0.6484E-01  0.6484E-01
  -13.50      0.3410E-01  0.3410E-01  0.6488E-01  0.6488E-01
  -13.45      0.3415E-01  0.3415E-01  0.6491E-01  0.6491E-01
  -13.40      0.3421E-01  0.3421E-01  0.6495E-01  0.6495E-01
  -13.35      0.3426E-01  0.3426E-01  0.6499E-01  0.6499E-01
  -13.30      0.3431E-01  0.3431E-01  0.6503E-01  0.6503E-01
  -13.25      0.3437E-01  0.3437E-01  0.6506E-01  0.6506E-01
  -13.20      0.3442E-01  0.3442E-01  0.6510E-01  0.6510E-01
  -13.15      0.3448E-01  0.3448E-01  0.6514E-01  0.6514E-01
  -13.10      0.3453E-01  0.3453E-01  0.6518E-01  0.6518E-01
  -13.05      0.3458E-01  0.3458E-01  0.6521E-01  0.6521E-01
  -13.00      0.4948E-01  0.3464E-01  0.6525E-01  0.6525E-01
  -12.95      0.4956E-01  0.3469E-01  0.6529E-01  0.6529E-01
  -12.90      0.4964E-01  0.3475E-01  0.6533E-01  0.6533E-01
  -12.85      0.4972E-01  0.3480E-01  0.6536E-01  0.6536E-01
  -12.80      0.4980E-01  0.3486E-01  0.6540E-01  0.6540E-01
  -12.75      0.4988E-01  0.3491E-01  0.6544E-01  0.6544E-01
  -12.70      0.4996E-01  0.3497E-01  0.6548E-01  0.6548E-01
  -12.65      0.5004E-01  0.3503E-01  0.6551E-01  0.6551E-01
  -12.60      0.5012E-01  0.3508E-01  0.6555E-01  0.6555E-01
  -12.55      0.5020E-01  0.3514E-01  0.6559E-01  0.6559E-01
  -12.50      0.5028E-01  0.3520E-01  0.6563E-01  0.6563E-01
  -12.45      0.5036E-01  0.3525E-01  0.6566E-01  0.6566E-01
  -12.40      0.5044E-01  0.3531E-01  0.6570E-01  0.6570E-01
  -12.35      0.5052E-01  0.3537E-01  0.6574E-01  0.6574E-01
  -12.30      0.5061E-01  0.3542E-01  0.6578E-01  0.6578E-01
  -12.25      0.5069E-01  0.3548E-01  0.6581E-01  0.6581E-01
  -12.20      0.5077E-01  0.3554E-01  0.6585E-01  0.6585E-01
  -12.15      0.5085E-01  0.3560E-01  0.6589E-01  0.6589E-01
  -12.10      0.5094E-01  0.3566E-01  0.6593E-01  0.6593E-01
  -12.05      0.5102E-01  0.3571E-01  0.6596E-01  0.6596E-01
  -12.00      0.5110E-01  0.3577E-01  0.6600E-01  0.6600E-01
  -11.95      0.5119E-01  0.3583E-01  0.6604E-01  0.6604E-01
  -11.90      0.5127E-01  0.3589E-01  0.6608E-01  0.6608E-01
  -11.85      0.5136E-01  0.3595E-01  0.6611E-01  0.6611E-01
  -11.80      0.5144E-01  0.3601E-01  0.6615E-01  0.6615E-01
  -11.75      0.5153E-01  0.3607E-01  0.6619E-01  0.6619E-01
  -11.70      0.5161E-01  0.3613E-01  0.6623E-01  0.6623E-01
  -11.65      0.5170E-01  0.3619E-01  0.6626E-01  0.6626E-01
  -11.60      0.5178E-01  0.3625E-01  0.6630E-01  0.6630E-01
  -11.55      0.5187E-01  0.3631E-01  0.6634E-01  0.6634E-01
  -11.50      0.5196E-01  0.3637E-01  0.6638E-01  0.6638E-01
  -11.45      0.5205E-01  0.3643E-01  0.6641E-01  0.6641E-01
  -11.40      0.5213E-01  0.3649E-01  0.6645E-01  0.6645E-01
