   -1500.         0.271442          10.0000         0.136037         0.119140    
   -1499.         0.267113          2.05186         0.909682E-01     0.129911    
   -1498.         0.260631          2.43156         0.926471E-01     0.142272    
   -1497.         0.252986          2.87995         0.946832E-01     0.148008    
   -1496.         0.245271          3.33263         0.967988E-01     0.145687    
   -1495.         0.238733          3.71715         0.986444E-01     0.135035    
   -1494.         0.234558          3.96521         0.998592E-01     0.117225    
   -1493.         0.233615          4.02674         0.100164         0.947146E-01
   -1492.         0.236253          3.88072         0.994433E-01     0.706730E-01
   -1491.         0.242252          3.53805         0.977792E-01     0.482585E-01
   -1490.         0.250923          3.03604         0.954057E-01     0.300304E-01
   -1489.         0.261311          2.42806         0.926314E-01     0.176491E-01
   -1488.         0.272391          1.77295         0.897608E-01     0.118523E-01
   -1487.         0.283205          1.12715         0.870473E-01     0.126088E-01
   -1486.         0.292943         0.539997         0.846768E-01     0.193511E-01
   -1485.         0.300962         0.518859E-01     0.827741E-01     0.312181E-01
   -1484.         0.306776        -0.305760         0.814179E-01     0.472672E-01
   -1483.         0.310026        -0.509293         0.806602E-01     0.666248E-01
   -1482.         0.310446        -0.541213         0.805423E-01     0.885472E-01
   -1481.         0.307831        -0.388757         0.811077E-01     0.112364    
   -1480.         0.302031        -0.436282E-01     0.824088E-01     0.137294    
   -1479.         0.292982         0.496233         0.845038E-01     0.162138    
   -1478.         0.280781          1.22201         0.874388E-01     0.184937    
   -1477.         0.265831          2.10633         0.912065E-01     0.202745    
   -1476.         0.249016          3.09387         0.956753E-01     0.211788    
   -1475.         0.231865          4.09405         0.100498         0.208277    
   -1474.         0.216559          4.98235         0.105045         0.189819    
   -1473.         0.205631          5.61773         0.108457         0.156828    
   -1472.         0.201311          5.87744         0.109891         0.112978    
   -1471.         0.204752          5.69659         0.108890         0.642269E-01
   -1470.         0.215646          5.08774         0.105601         0.169594E-01
   -1469.         0.232496          4.12736         0.100664        -0.236486E-01
   -1468.         0.253271          2.92312         0.948823E-01    -0.543931E-01
   -1467.         0.275965          1.58515         0.889600E-01    -0.739879E-01
   -1466.         0.298885         0.210561         0.833860E-01    -0.825887E-01
   -1465.         0.320725         -1.12143         0.784415E-01    -0.812327E-01
   -1464.         0.340534         -2.34885         0.742541E-01    -0.713613E-01
   -1463.         0.357635         -3.42433         0.708561E-01    -0.544743E-01
   -1462.         0.371558         -4.31183         0.682309E-01    -0.319111E-01
   -1461.         0.381961         -4.98358         0.663460E-01    -0.475041E-02
   -1460.         0.388581         -5.41753         0.651734E-01     0.261572E-01
   -1459.         0.391200         -5.59603         0.647010E-01     0.600013E-01
   -1458.         0.389656         -5.50674         0.649366E-01     0.956620E-01
   -1457.         0.383893         -5.14655         0.659016E-01     0.131255    
   -1456.         0.374086         -4.52894         0.676123E-01     0.163752    
   -1455.         0.360793         -3.69342         0.700435E-01     0.188983    
